Date | Car Plate | Car Claim Amount(RM) | Driver ID | Driver Claim Amount(RM) | Total Claim Amount
 2024-07-07 |  GH 321 V  | 0 |  DR007  | 0 | 0
 2024-07-08 |  RT 654 W  | 1200 |  DR008  | 1200 | 2400
 2024-07-05 |  XY 987 Z  | 5000 |  DR005  | 5000 | 10000
 2024-07-09 |  UV 789 X  | 3000 |  DR009  | 0 | 3000
 2024-07-04 |  AB 123 C  | 3000 |  DR004  | 0 | 3000
 2024-07-07 |  GH 321 V  | 0 |  DR007  | 0 | 0
 2024-07-08 |  RT 654 W  | 1200 |  DR008  | 1200 | 2400
 2024-07-04 |  AB 123 C  | 3000 |  DR004  | 0 | 3000
 2024-07-05 |  XY 987 Z  | 5000 |  DR005  | 5000 | 10000
 2024-07-05 |  XY 987 Z  | 5000 |  DR005  | 5000 | 10000
 2024-07-05 |  XY 987 Z  | 5000 |  DR005  | 5000 | 10000
 2024-07-01 |  WC 405L  | 3000 |  DR001  | 3000 | 6000
 2024-07-05 |  XY 987 Z  | 5000 |  DR005  | 5000 | 10000
 2024-07-05 |  XY 987 Z  | 5000 |  DR005  | 5000 | 10000
 2024-07-05 |  XY 987 Z  | 5000 |  DR005  | 5000 | 10000
 2024-07-05 |  XY 987 Z  | 5000 |  DR005  | 5000 | 10000
 2024-07-05 |  XY 987 Z  | 5000 |  DR005  | 5000 | 10000
 2024-07-01 |  WC 405L  | 3000 |  DR001  | 3000 | 6000
 2024-07-01 |  WC 405L  | 3000 |  DR001  | 3000 | 6000
 2024-07-01 |  WC 405L  | 3000 |  DR001  | 3000 | 6000
 2024-07-01 |  WC 405L  | 3000 |  DR001  | 3000 | 6000
 2024-07-04 |  AB 123 C  | 3000 |  DR004  | 0 | 3000
 2024-07-01 |  WC 405L  | 3000 |  DR001  | 3000 | 6000
 2024-07-04 |  AB 123 C  | 3000 |  DR004  | 0 | 3000
 2024-07-04 |  AB 123 C  | 3000 |  DR004  | 0 | 3000
 2024-07-02 |  WS 345  | 0 |  DR002  | 2500 | 2500
 2024-07-01 |  WC 405L  | 3000 |  DR001  | 3000 | 6000
 2024-07-01 |  WC 405L  | 3000 |  DR001  | 3000 | 6000
 2024-07-01 |  WC 405L  | 0 |  DR001  | 3000 | 3000
 2024-07-01 |  WC 405L  | 0 |  DR001  | 3000 | 3000
 2024-07-01 |  WC 405L  | 0 |  DR001  | 3000 | 3000
 2024-07-01 |  WC 405L  | 0 |  DR001  | 3000 | 3000
 2024-07-01 |  WC 405L  | 0 |  DR001  | 3000 | 3000
 2024-07-02 |  WS 345  | 1000 |  DR002  | 2500 | 3500
